,,Balance Sheet,,,,,,,,,,
,,,,,,,,,,,,
,,Assumptions:,,Notes:,,,,,,,,
,,Long-Term Investments,,"Maintenance, keep 2025A constant",,,,,,,,
,,Intangible Assets,,Keep 2025A constant,,,,,,,,
,,Unusual Expense,,Keep 2025A constant,,,,,,,,
,,,,,,,,,,,,
,,Balance Sheet,,,,,,,,,,
,,,2021A,2022A,2023A,2024A,2025A,2026E,2027E,2028E,2029E,2030E
,,Cash and cash equivalents,95.202,1215.46,2776,405,1206,1206,1206,1206,1206,1206
,,Trade and other receivables,154.163,657.46,325,566,418,,,,,
,,Inventories,175.93,157,134,481,463,,,,,
,,Income tax receivable,-,-,-,75,-,,,,,
,,Total Current Assets,425,2030,3234,1527,2087,2087,2087,2087,2087,2087
,,Trade and other receivables,12,7,5,7,8,,,,,
,,Investments,0,1,18,70,84,,,,,
,,"Property, Plant & Equipment",3330,3427,3802,10276,8925,,,,,
,,Exploration and evaluation assets,614,647,439,767,697,,,,,
Intangible assets,,Other Assets,12,12,12,29,25,,,,,
,,Total Assets,4393,6124,7511,12676,11826,11826,11826,11826,11826,11826
,,Trade and other payables,231,362,309,1065,770,,,,,
,,Deferred and contingent consideration,-,-,-,761,743,,,,,
,,Interest-bearing liabilities,75,78,72,147,159,,,,,
,,Employee benefits,32,34,39,136,136,,,,,
,,Income tax payable,-,552,871,-,10,,,,,
,,Provisions & Derivatives,22,24,20,54,51,,,,,
,,Total Current Liabilities,360,1050,1311,2163,1869,1869,1869,1869,1869,1869
,,Other payables,46,48,30,119,109,,,,,
,,Deferred and contingent consideration,-,-,-,1757,760,,,,,
,,Interest-bearing liabilities,918,167,117,1744,1874,,,,,
,,Deferred tax liability,155,405,542,616,742,,,,,
,,Provisions & Derivatives,208,243,250,1006,771,,,,,
,,Total Liabilities,1687,1913,2250,7405,6125,6125,6125,6125,6125,6125
"issued capital, share baed, other reserves, retained etc.",,Common Equity,2706,4212,5261,5701,5271,,,,,
,,Total Equity,2706,4212,5261,5701,5271,5271,5271,5271,5271,5271
,,Total Liabilities & Shareholders' Equity,4393,6125,7511,13106,11396,11396,11396,11396,11396,11396
,,,,,,,,,,,,
