,,Cash Flow Statement,,,,,,,,,,
,,,,,,,,,,,,
,,Assumptions:,,Notes:,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Cash Flow Statement,,,,,,,,,,
,,,2021A,2022A,2023A,2024A,2025A,2026E,2027E,2028E,2029E,2030E
Cash receipts = Cash Paid,,Net Income,169,2582,4190,1307,1258,,,,,
,,Net Interest,-43,-40,49,37,-214,,,,,
,,Income taxes received/(paid),12,-12,-677,-1017,86,,,,,
,,Net Operating Cash Flow,138,2530,3562,327,1130,,,,,
,,Capital Expenditures,-91,-158,-258,-454,-393,,,,,
,,Net Assets from Acquisitions,-16,-23,-29,-3327,-1138,,,,,
,,Sale of Fixed Assets & Businesses,3,4,2,1,3,,,,,
,,Other Funds - Net,-,-,-22,-25,1544,,,,,
,,Net Investing Cash Flow,-104,-177,-307,-3805,16,,,,,
,,Cash Dividends Paid,-,-80,-639,-392,-176,,,,,
,,Change in Capital Stock,-1,-372,-987,-6,-52,,,,,
,,"Issuance/Reduction of Debt, Net",,,,,63,,,,,
,,Repayments of Operating Lease Liabilities,-85,-154,-82,-85,-154,,,,,
,,Other Funds - Net,,,,,-,,,,,
,,Net Financing Cash Flow,,,,,-319,,,,,
,,,,,,,,,,,,
,,Net Change in Cash,,,,,,,,,,
